year,dioceses,nexis
1990,Oakland,0
1991,Oakland,0
1992,Oakland,0
1993,Oakland,0
1994,Oakland,0
1995,Oakland,0
1996,Oakland,0
1997,Oakland,0
1998,Oakland,0
1999,Oakland,0
2000,Oakland,2
2001,Oakland,0
2002,Oakland,9
2003,Oakland,0
2004,Oakland,2
2005,Oakland,7
2006,Oakland,0
2007,Oakland,4
2008,Oakland,0
2009,Oakland,3
2010,Oakland,16
2011,Oakland,0
2012,Oakland,7
2013,Oakland,0
2014,Oakland,0
2015,Oakland,0
2016,Oakland,0
2017,Oakland,0
1990,Kansas City KS,0
1991,Kansas City KS,0
1992,Kansas City KS,0
1993,Kansas City KS,0
1994,Kansas City KS,0
1995,Kansas City KS,0
1996,Kansas City KS,0
1997,Kansas City KS,0
1998,Kansas City KS,0
1999,Kansas City KS,0
2000,Kansas City KS,0
2001,Kansas City KS,0
2002,Kansas City KS,0
2003,Kansas City KS,0
2004,Kansas City KS,0
2005,Kansas City KS,0
2006,Kansas City KS,0
2007,Kansas City KS,0
2008,Kansas City KS,0
2009,Kansas City KS,0
2010,Kansas City KS,0
2011,Kansas City KS,0
2012,Kansas City KS,0
2013,Kansas City KS,0
2014,Kansas City KS,0
2015,Kansas City KS,7
2016,Kansas City KS,0
2017,Kansas City KS,0
1990,San Jose,0
1991,San Jose,0
1992,San Jose,0
1993,San Jose,0
1994,San Jose,0
1995,San Jose,0
1996,San Jose,0
1997,San Jose,0
1998,San Jose,0
1999,San Jose,0
2000,San Jose,0
2001,San Jose,0
2002,San Jose,0
2003,San Jose,0
2004,San Jose,0
2005,San Jose,0
2006,San Jose,0
2007,San Jose,0
2008,San Jose,0
2009,San Jose,0
2010,San Jose,0
2011,San Jose,0
2012,San Jose,0
2013,San Jose,0
2014,San Jose,0
2015,San Jose,0
2016,San Jose,0
2017,San Jose,0
1990,San Diego,0
1991,San Diego,0
1992,San Diego,0
1993,San Diego,0
1994,San Diego,0
1995,San Diego,0
1996,San Diego,0
1997,San Diego,0
1998,San Diego,0
1999,San Diego,0
2000,San Diego,0
2001,San Diego,0
2002,San Diego,0
2003,San Diego,0
2004,San Diego,0
2005,San Diego,1
2006,San Diego,0
2007,San Diego,98
2008,San Diego,7
2009,San Diego,0
2010,San Diego,11
2011,San Diego,8
2012,San Diego,8
2013,San Diego,1
2014,San Diego,0
2015,San Diego,1
2016,San Diego,0
2017,San Diego,0
1990,Trenton,0
1991,Trenton,0
1992,Trenton,0
1993,Trenton,0
1994,Trenton,0
1995,Trenton,0
1996,Trenton,0
1997,Trenton,2
1998,Trenton,0
1999,Trenton,0
2000,Trenton,0
2001,Trenton,0
2002,Trenton,7
2003,Trenton,0
2004,Trenton,0
2005,Trenton,0
2006,Trenton,5
2007,Trenton,0
2008,Trenton,0
2009,Trenton,0
2010,Trenton,0
2011,Trenton,0
2012,Trenton,0
2013,Trenton,0
2014,Trenton,1
2015,Trenton,0
2016,Trenton,0
2017,Trenton,0
